USAF,WBAN,STATION NAME,CTRY,STATE,LAT,LON,Geocoded_City,Geocoded_County
722453,99999,SABINE PASS,US,TX,29.7,-93.95,Port Arthur,Jefferson County
722469,53912,CAMPBELL FLD-CORSICANA MU,US,TX,32.032,-96.399,Corsicana,Navarro County
722469,99999,C DAVID CAMPBELL FLD,US,TX,32.033,-96.4,Corsicana,Navarro County
722470,3901,EAST TEXAS REGIONAL ARPT,US,TX,32.391,-94.714,,Gregg County
722470,99999,LONGVIEW,US,TX,32.35,-94.65,,Rusk County
722479,53907,ARLINGTON MUNICIPAL AIRPORT,US,TX,32.658,-97.095,Arlington,Tarrant County
722479,99999,ARLINGTON MUNI,US,TX,32.667,-97.1,Arlington,Tarrant County
722489,53911,TERRELL MUNICIPAL AIRPORT,US,TX,32.713,-96.269,Terrell,Kaufman County
722489,99999,TERRELL MUNI,US,TX,32.717,-96.267,Terrell,Kaufman County
722499,53948,A L MANGHAM JR RGNL ARPT,US,TX,31.578,-94.709,Nacogdoches,Nacogdoches County
722499,99999,A L MANGHAM JR RGNL,US,TX,31.578,-94.71,Nacogdoches,Nacogdoches County
722500,12919,BROWNSVILLE/S PADRE ISLAND INTL AP,US,TX,25.915,-97.423,Brownsville,Cameron County
722503,99999,VERMILLION,US,TX,28.583,-92.467,,
722505,12904,VALLEY INTERNATIONAL ARPT,US,TX,26.23,-97.656,Harlingen,Cameron County
722505,99999,VALLEY INTL,US,TX,26.217,-97.65,Harlingen,Cameron County
722506,12959,MC ALLEN MILLER INTL ARPT,US,TX,26.179,-98.245,McAllen,Hidalgo County
722507,99999,CHARLES R JOHNSON,US,TX,26.563,-97.438,,Willacy County
722508,12957,PORT ISABEL-CAMERON CO APT,US,TX,26.16,-97.338,,Cameron County
722508,99999,PORT ISABEL CAMERON,US,TX,26.167,-97.35,,Cameron County
722510,12924,CORPUS CHRISTI INTERNATIONAL AIRPORT,US,TX,27.773,-97.513,Corpus Christi,Nueces County
